hour,avg_score,stories_count
1,128.0,3
2,338.75,4
3,109.0,1
4,290.0,1
5,191.0,1
6,283.0,1
7,397.0,1
8,350.0,1
9,205.75,4
10,917.0,1
11,52.333333333333336,3
12,143.25,8
13,199.53846153846155,13
14,113.6,5
15,117.25,8
16,69.83333333333333,6
17,79.0,13
18,241.0,4
19,154.0,6
20,156.0,4
21,138.25,4
22,627.5,2
23,191.4,5
